timestamp,user,action,details
2026-03-27T09:20:51.386Z,Inewsolar,KHAI BÁO MỚI,Khai báo công trình mới: DaNim 990kW (STT: 5)
2026-03-27T09:21:33.405Z,operation1,CẬP NHẬT,Cập nhật công trình: DaNim 990kW (STT: 5)
